eyes 眼睛视力
position 位置职位
wrong 错误不对
marry 结婚嫁娶
while 同时然而
Oh 哎呀哦呵
true 真实正确
leave 离开休假
spoken 口头讲的
hour 小时钟头
least 最少最小
Government 政府政体
yourself 你自己们
Saulsby 姓氏索尔
coming 即将来临
declared 宣布声明
kind 种类和蔼
looked 看过瞧过
night 夜晚晚上
else 其他别的
gone 离去走了
used 用过旧的
idea 主意想法
lord 上帝阁下
name 名字命名
chance 机会机遇
duty 责任义务
face 脸面
loved 热爱喜爱
ought 应该应当
political 政治党派
sat 坐过坐了
saw 看见锯子
talk 谈话交谈
dinner 晚餐正餐
doing 正在做事
each 每个各自
brought 带来拿来
few 很少几个
hands 手指针帮
year 年份年度
call 呼叫称呼
hard 努力艰难
received 收到接到
altogether 总共完全
either 任何一个
help 帮助救助
next 下一个的
part 部分角色
session 会议开庭
hear 听见听到
lady 女士夫人
rather 宁可宁愿
success 成功胜利
Minister 部长大臣
live 居住生活
began 开始启动
gentleman 绅士先生
politics 政治事务
care 照顾关心
end 结束终止
poor 贫穷贫困
simply 简单朴素
able 能够有才
already 已经早已
less 更少较少
looking 看着瞧着
often 常常经常
really 真正确实
Chapter 章节篇章
Oswald 男子奥斯
means 方法手段
strong 强壮强烈
therefore 因此所以
whole 全部整体
Square 正方形场
remember 记得记住
pleasant 愉快舒适
sitting 坐着在坐
stand 站立忍受
unless 除非如果
Im 我是
bad 坏的不好
borough 市镇区域
door 门出入口
evening 晚上傍晚
meet 相遇遇见
where 哪里何处
Palliser 姓氏帕利
making 制作制造
Ratler 姓氏拉特
during 在…… 期间
head 头头脑部
occasion 场合时机
angry 生气愤怒
full 充满满的
speaking 说话讲话
standing 站立地位
Reform 改革改良
uphill 上坡的；向上的
upper 上面的；较高的
upshot 结果；结局
vanished 消失的；不见的
verdure 青葱；翠绿；生机
village 村庄；乡村
visiting 拜访；访问
vital 至关重要的；生死攸关的
waking 醒着的；清醒的
warning 警告；警示
waste 浪费；废物
weaknesses 弱点；缺点
weather 天气；气象
weep 哭泣；流泪
weighed 称…… 的重量；权衡
weve = we have 我们有
whenever 无论何时；每当
wig 假发
wiped 擦；抹
womanhood 女子成年期；女性气质
wonderfully 精彩地；极好地
wondering 疑惑；想知道
writs 令状；书面命令
Abbey 修道院；大寺院
Acre 英亩
Affairs 事务；事情
Afterwards 后来；以后
Alison 艾莉森（人名）
Allow 允许；准许
Almost 几乎；差不多
Angry 生气的；愤怒的
Anything 任何事物；任何东西
Athenaeum 雅典娜神庙；文艺协会
Attorney General 司法部长；总检察长
Austrian 奥地利的；奥地利人
BRENTFORD 布伦特福德（地名）
Bath 巴斯（地名）；沐浴
Behind 在…… 后面
Birmingham 伯明翰（地名）
Bishop 主教
Blake 布莱克（人名）
Blane 布兰（人名）
Blink 眨眼；闪烁
Braes 山坡；高地
Britain 英国；不列颠
Brock 布罗克（人名）
Broderick 布罗德里克（人名）
Bromwich 布罗米奇（地名）
Brook 小溪；小河
Burke 伯克（人名）
Call 呼叫；呼唤
Canadas 加拿大的（复数所有格形式）
Cannings 坎宁斯（人名）
Cantrips 小魔法；戏法
Carey 凯里（人名）
Carlton 卡尔顿（人名）
Catholics 天主教徒（复数）
Chambers 房间；室
Chancellors 大臣；总理；校长（复数）
Chateau 城堡；庄园
Children 孩子们（child 的复数）
Claddagh 克拉达（一种爱尔兰传统戒指）
Clause 条款；从句
Conachar 科纳查尔（地名）
Connaught 康诺特（爱尔兰省名）
Cork 软木；科克（地名）
Corpus 文集；语料库
Cottesmore 科特斯莫尔（地名）
Count 伯爵；数数
Covent 科文特（地名）
Crichton 克赖顿（人名）
Cross 十字架；交叉
DUKE 公爵
Damn 该死；谴责
Darby 达比（人名）
Dick 迪克（人名）
Doubtless 无疑地；肯定地
Dresden 德累斯顿（地名）
Dubby 达比（人名）
Each 每个；各自
Enough 足够的；充足的
Eton 伊顿（地名）
Eve 前夕；前夜；夏娃（人名）
Ever 永远；曾经
Explain 解释；说明
Fiddlestick 无聊事；胡扯
Flanders 佛兰德斯（地名）
Frank 弗兰克（人名）；坦率的
GOESLER 格斯勒（人名）
Gamaliels 迦玛列（人名）
Garden 花园；菜园
Garter 嘉德勋章；吊袜带
Gentlemen 绅士们（gentleman 的复数）
Germany 德国
Giless 吉尔斯（人名）
Given 给定的；赠予的
Greek 希腊的；希腊人；希腊语
Greeswing 格里辛（人名）
Gregory 格雷戈里（人名）
Habeas 人身保护令
Halloa 喂；嘿（呼喊声）
bill 账单法案
everything 一切事物
off 离开断开
rate 比率评估
party 政党聚会
feeling 感觉情感
however 然而可是
side 侧面一方
certain 确定某些
Hard 坚硬的；困难的
Headache 头痛
Help 帮助；帮忙
Herr 先生（德语）
Highness 殿下；阁下
Hill 小山；丘陵
Horse 马
Indian 印度的；印第安人的；印度人；印第安人
Inns 旅馆；客栈（inn 的复数）
Jane 简（人名）
Joan 琼（人名）
Jove 朱庇特（罗马神话中的众神之王）
Keep 保持；保存
Kilfenora 基尔费诺拉（地名）
Killaloeians 基拉卢人（Killaloe 的居民）
Kingstown 金斯敦（地名）
L 字母 L；升（litre 的缩写）
Lapoule 拉普勒（人名）
Later 后来；稍后
Latterly 近来；最近
Leicestershire 莱斯特郡（地名）
Liberalism 自由主义
Long 长的；长久的
Longroyston 朗罗斯顿（地名）
Lucifer 路西法（堕落天使）
MAX 最大值；马克斯（人名）
Manchester 曼彻斯特（地名）
Margin 边缘；页边空白
Mariana 玛丽安娜（人名）
Maybe 也许；可能
Means 方法；手段
Merrilies 梅里利斯（人名）
Mill 磨坊；工厂
Mockrath 莫克拉思（人名）
Moll 莫尔（人名）
Molonys 莫洛尼斯（人名）
Monument 纪念碑；纪念物
More 更多的；附加的
Mottram 莫特拉姆（地名）
Mount 山；登上
Mountains 山脉；群山（mountain 的复数）
Munster 芒斯特（爱尔兰省名）
Must 必须；一定
Nature 自然；本性
North 北方；北部
O 字母 O；哦（表示惊讶等）
Ought 应该；应当
P 字母 P；便士（penny 的缩写）
Palmerston 帕默斯顿（人名）
Patronage 赞助；支持
Pay 支付；付款
Persse 珀斯（人名）
Perthshire 珀斯郡（地名）
Peter 彼得（人名）
Peterborough 彼得伯勒（地名）
Philistine 非利士人；市侩
Phin 菲恩（人名）
Pickwell 皮克韦尔（人名）
Pitt 皮特（人名）
Political 政治的；政治上的
Pope 教皇；蒲柏（人名）
Pouncefoots 庞斯富茨（人名）
Presently 不久；目前
Pretty 漂亮的；相当
Primrose 报春花；淡黄色
Puck 小精灵；恶作剧的小妖精
Railway 铁路；铁道
Really 真正地；确实地
Red 红色的；红色
Redistribution 再分配；重新分配
Regents 摄政者；董事（regent 的复数）
Resign 辞职；放弃
Respecting 关于；就…… 而言
Romford 罗姆福德（地名）
Room 房间；空间
Royal 皇家的；王室的
Sabbath 安息日
Sancho 桑丘（人名）
September 九月
Seven 七
Seventeen 十七
Showing 展示；表演（show 的现在分词）
Sit 坐；坐落
Soho 索霍区（伦敦的一个街区）
Someone 某人；有人
Somerby 萨默比（地名）
Standishes 斯坦迪什（人名）
Surely 当然；无疑地
Switzerland 瑞士
Talk 谈话；交谈
Terriers 梗犬（terrier 的复数）
Thereupon 于是；因此
Theyll = they will 他们将
Theyre = they are 他们是
Theyve = they have 他们有
Thistle 蓟；苏格兰的象征
Till 直到；耕种
Tipperary 蒂珀雷里（地名）
Tories 托利党人；保守党的支持者。
wars 战争
wary 谨慎的；小心翼翼的
waspish 易怒的；尖刻的
wasting 浪费的；消耗性的
watches 观看；注视；手表（复数）
waterlogged 浸满水的；水涝的
watermen 船夫；运水人
watertight 不漏水的；无懈可击的
waving 挥手；挥动；波浪状的
wavy 波浪形的；起伏的
weaken 削弱；变弱
weakened 被削弱的
weaker 较弱的
weakly 虚弱地；软弱地
wean 使断奶；使戒除
weapon 武器
weariness 疲倦；困乏
wed 结婚；与…… 结婚
wedding 婚礼
wedged 楔入的；挤进的
wedlock 婚姻；已婚状态
weighted 加权的；加重的
weighty 重的；重大的；严肃的
well-armed 武装精良的
well-cushioned 有良好缓冲的
well-instructed 受过良好教育的
wells 井；源泉（复数）
